name	course	minutes	n_steps	ingredients	n_ingredients	calories	total_fat	sugar	sodium	protein	saturated_fat	carbohydrates	num_reviews	mean_rating	has_egg_subs	has_dairy_subs	has_margarine	has_meat_subs	has_yeast	has_mushroom	has_grain	has_corn	has_rice	has_gluten	has_noodle	has_pungent	has_nut	has_coconut	has_chocolate	has_coffee	has_seed	has_avocado	has_oil	has_olive	has_smoke	has_paste	has_peppercorn	has_curry	has_misc_spice	has_warm_spice	has_legume	has_pod	has_tofu	has_tuber	has_sweet_tuber	has_tapioca	has_potato	has_bulb	has_sprout	has_artichoke	has_herb	has_green	has_cabbage	has_lettuce	has_seaweed	has_tomato	has_eggplant	has_sweet_pepper	has_hot_pepper	has_squash	has_melon	has_cucumber	has_plantain	has_pome_fruit	has_stone_fruit	has_tropical_fruit	has_berry	has_sweet_fruit	has_citrus	has_vinegar	has_alcohol	has_complex_sugar	is_red	is_orange	is_yellow	is_green_light	is_green_dark	is_purple
raw angel hair zucchini pasta with fresh pesto	1	30	7	['zucchini', 'green tomato', 'extra virgin olive oil', 'sea salt', 'fresh ground black pepper', 'pine nuts', 'basil leaves', 'fresh basil leaves', 'garlic']	9	374.7	57	22	31	10	21	3	8	4.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
10 minute tvp tacos	1	10	6	['textured vegetable protein', 'water', 'soy sauce', 'olive oil', 'taco seasoning', 'red pepper', 'salsa', 'flour tortillas']	8	38.1	4	5	21	1	1	1	13	4.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
21 vegetarian sloppy joes	9	35	10	['canola oil', 'garlic cloves', 'bell pepper', 'soy crumbles', 'chili powder', 'jalapeno pepper', 'ale', 'bottled chili sauce', 'soy sauce', 'green onion', 'hamburger bun', 'avocado']	12	532.6	48	18	100	75	30	7	3	4.33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
2bleu s vegetable barley soup	4	90	6	['vegetable broth', 'garlic cloves', 'tomato sauce', 'diced tomatoes', 'pearl barley', 'dried parsley', 'basil', 'crushed red pepper flakes', 'bay leaf', 'carrots', 'celery', 'onion', 'fresh mushrooms', 'salt and black pepper']	14	128.5	0	21	7	9	0	9	5	4.8	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
3 bean salad like kfc	5	740	4	['vegetable oil', 'cider vinegar', 'sugar', 'salt', 'pepper', 'cut green beans', 'cut wax beans', 'dark red kidney beans', 'green pepper', 'white onion']	10	288.8	21	81	26	11	9	12	7	4.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
3 ingredient cinnamon banana slice	8	5	5	['whole wheat bread', 'banana', 'cinnamon']	3	114.6	2	30	6	6	1	8	11	4.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30 minute baked potato	2	25	6	['potato', 'olive oil']	2	164	0	6	0	8	0	12	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30 minute seasoned sweet potato yam fries baked not fried	10	30	8	['sweet potatoes', 'olive oil', 'paprika', 'cinnamon', 'kosher salt', 'white pepper']	6	118.1	10	11	6	2	4	4	10	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4 fun salsa s in one	7	20	20	['red ripe tomatoes', 'onion', 'fresh cilantro', 'fresh parsley', 'garlic', 'fresh cracked pepper', 'salt', 'ground cumin', 'serrano chili', 'jalapeno', 'lime', 'sun-dried tomato packed in oil', 'brown sugar', 'chipotle chile in adobo', 'adobo sauce', 'mango', 'cucumber', 'vodka', 'avocado']	19	137.5	12	30	0	5	5	5	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0
5 ingredient soup	4	20	4	['vegetable broth', 'vegetarian refried beans', 'black beans', 'frozen corn', 'tomatoes and green chilies']	5	235.9	3	1	21	24	2	15	14	4.93	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
5 minute vegan pancakes	8	15	8	['flour', 'sugar', 'baking powder', 'salt', 'soymilk', 'vegetable oil']	6	444.8	25	45	54	20	10	21	482	3.35	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5 minute oatmeal raisin cookie treat	10	5	6	['rolled oats', 'dark brown sugar', 'raisins', 'salt']	4	141.3	2	59	6	5	1	10	6	4.67	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
50 whole wheat bread	6	185	9	['water', 'margarine', 'molasses', 'whole wheat flour', 'all-purpose flour', 'salt', 'yeast']	7	2114.9	57	95	160	120	36	132	65	4.49	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
99 calorie broccoli soup	4	30	12	['vegetable stock', 'broccoli', 'garlic clove', 'fresh gingerroot', 'soymilk', 'low sodium soy sauce', 'red onion']	7	125.3	4	32	8	16	1	6	7	3.57	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
a la rousse salad romanian	5	50	3	['potatoes', 'carrots', 'peas', 'dill pickles', 'red bell peppers', 'vegan mayonnaise', 'pickle juice', 'mustard', 'salt', 'spices', 'vegetarian sausages']	11	214	10	27	20	12	5	11	4	1.25	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
a side of black beans and corn	2	10	5	['black beans', 'corn', 'ground cumin', 'onion', 'olive oil', 'taco seasoning', 'hot sauce']	7	108.1	2	8	0	9	1	6	6	3.33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
a very good tagine tajine vegetarian	1	80	3	['onion', 'mushrooms', 'sweet potatoes', 'canned tomatoes', 'cherry tomatoes', 'dried apricots', 'chickpeas', 'tomato puree', 'coriander', 'cinnamon', 'cumin', 'garlic powder', 'hot chili powder', 'vegetable stock', 'cooking spray']	15	280.7	2	74	20	18	1	20	4	4.75	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
a a a absolutely the cranberry relish	2	20	4	['fresh cranberries', 'apples', 'raisins', 'brown sugar', 'apple juice concentrate']	5	128.1	0	103	0	1	0	11	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0
abidjan cabbage salad	5	15	4	['cabbage', 'carrot', 'pineapple chunk', 'juice of lemon', 'juice of orange', 'salt', 'vegetable oil']	7	159	18	39	4	2	7	4	3	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0
abm italian breadsticks grissini	6	160	14	['water', 'olive oil', 'white bread flour', 'salt', 'dried yeast', 'poppy seeds', 'coarse sea salt']	7	70.2	2	0	5	3	1	3	4	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
absolutely fail proof easy marmalade		30	9	['oranges', 'sugar']	2	847.9	0	857	0	2	0	72	23	4.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
abuela s frijoles negros grandma s cuban black beans	2	1620	11	['black beans', 'green peppers', 'water', 'olive oil', 'black pepper', 'onion', 'oregano', 'garlic cloves', 'bay leaf', 'sugar', 'salt', 'vinegar', 'dry wine']	13	362.3	40	15	65	15	18	8	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
acadia s french green beans	2	17	6	['french style green beans', 'vegetable stock', 'dill', 'chives', 'pepper']	5	36.4	0	6	13	4	0	2	5	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
acadia s marinara sauce	1	70	14	['extra virgin olive oil', 'onion', 'garlic', 'yellow bell pepper', 'basil', 'oregano', 'parsley', 'italian seasoning mix', 'sherry wine', 'crushed tomatoes', 'kosher salt', 'bay leaf']	12	145.1	6	3	11	7	2	6	5	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
achingya thoren kerala style green bean curry	2	30	12	['curry leaves', 'coconut', 'ground cumin', 'cayenne', 'turmeric', 'garlic cloves', 'vegetable oil', 'brown mustard seeds', 'raw rice', 'dried hot red chiles', 'green beans', 'salt']	12	136	18	6	16	4	33	2	4	5	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
achiote paste		5	10	['annatto seeds', 'cumin seeds', 'black pepper', 'allspice berries', 'salt', 'nutmeg']	6	3.5	0	0	24	0	0	0	3	4.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acili ezme turkish style tomato dip condiment	3	70	5	['red onions', 'sumac', 'salt', 'tomatoes', 'fresh parsley', 'extra virgin olive oil', 'pomegranate syrup', 'fresh lemon juice', 'red jalapeno chiles']	9	173.2	21	26	0	4	9	3	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1
acorn squash with cranberry apple stuffing	2	40	8	['acorn squash', 'boiling water', 'apples', 'dried cranberries', 'cinnamon', 'grapeseed oil']	6	189.1	11	30	0	3	3	11	3	4.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
adas bil hamod lentils with lemon juice	3	55	8	['black lentils', 'water', 'potatoes', 'flour', 'garlic cloves', 'coriander', 'lemon juice', 'salt', 'pepper']	9	353.8	1	9	1	46	0	21	7	4.14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
adobo seasoning delicioso style		10	2	['lemon-pepper seasoning', 'garlic powder', 'onion powder', 'dried oregano', 'parsley flakes', 'achiote powder', 'ground cumin', 'salt']	8	240.2	4	12	875	21	2	16	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adriana s mexican rice		30	7	['garlic cloves', 'tomatoes', 'rice', 'oil', 'water']	5	727.7	33	9	0	21	14	40	13	4.54	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
adzuki bean stew with okra	4	30	7	['olive oil', 'onions', 'fresh ginger', 'dried oregano', 'cayenne pepper', 'ground cinnamon', 'adzuki beans', 'braggs liquid aminos', 'vegetable broth', 'okra', 'cooked brown rice']	11	921.1	23	12	0	86	12	52	3	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
african beans	1	25	6	['dried black-eyed peas', 'onions', 'oil', 'tomato paste', 'coconut cream', 'paprika', 'chili powder', 'cumin', 'brown sugar', 'salt', 'black pepper']	11	1400	76	527	75	73	170	71	17	4.47	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
african millet salad with corn and peppers		50	11	['millet', 'extra virgin olive oil', 'onion', 'garlic', 'minced ginger', 'paprika', 'ground black pepper', 'ground allspice', 'cayenne', 'water', 'salt', 'lemon juice', 'brown sugar', 'corn', 'green bell pepper', 'roma tomato', 'parsley', 'roasted peanuts']	18	466.5	31	36	29	24	14	21	6	3.17	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
african peanut dipping sauce	7	35	5	['onions', 'peanut oil', 'cayenne', 'ground ginger', 'banana', 'tomato juice', 'apple juice', 'peanut butter']	8	304.6	30	62	13	19	19	9	5	4.8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
african peanut stew	1	90	11	['canola oil', 'onion', 'garlic cloves', 'fresh ginger', 'jalapeno', 'curry powder', 'diced tomatoes with juice', 'low sodium vegetable broth', 'natural-style peanut butter', 'tamari soy sauce', 'pepper', 'sweet potato', 'carrots', 'chickpeas', 'fresh okra', 'frozen green beans', 'kale', 'juice of lime', 'fresh cilantro', 'lime wedge', 'salted peanuts']	21	307.8	20	27	21	22	10	13	6	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
african pineapple peanut stew	1	30	8	['onion', 'garlic cloves', 'vegetable oil', 'kale', 'canned crushed pineapple', 'peanut butter', 'tabasco sauce', 'cilantro']	8	311.7	31	55	8	22	19	9	4	3.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
african potato and collard green stew	1	45	10	['olive oil', 'onions', 'garlic cloves', 'fresh ginger', 'ground cinnamon', 'poppy seeds', 'mustard seeds', 'ground coriander', 'ground cloves', 'russet potato', 'salt', 'cauliflower head', 'sweet potato', 'collard greens', 'raisins', 'apple cider vinegar', 'salt & freshly ground black pepper']	17	258.6	7	51	27	17	3	16	9	4.22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0
african red beans	2	105	11	['dried pinto bean', 'onions', 'peanut oil', 'canned whole tomatoes', 'tomato paste', 'garlic clove', 'cayenne pepper', 'white pepper', 'salt']	9	214.9	14	13	19	15	8	8	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
african yam stew	1	55	9	['vegetable broth', 'onion', 'yams', 'canned chickpeas', 'brown rice', 'salt', 'peanut butter', 'collard greens', 'fresh lemon juice', 'black pepper', 'braggs liquid aminos', 'chili sauce']	12	454.3	16	15	17	28	10	26	9	4.33	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
agourontomatosalata	5	15	5	['tomatoes', 'cucumber', 'green onions', 'dried oregano', 'olive oil', 'juice of lemon', 'salt and pepper']	7	99.9	11	20	0	3	5	3	12	4.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
agurkesalat cucumbers in vinegar	5	20	4	['cucumbers', 'vinegar', 'sugar', 'salt and pepper']	4	320.9	0	309	0	1	0	26	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
aj de lentejas bolivian spicy lentil stew	1	55	19	['dried hot pepper', 'onion', 'tomatoes', 'garlic cloves', 'italian parsley', 'dried lentils', 'olive oil', 'salt', 'water', 'sweet onion', 'flat leaf parsley', 'juice of lime']	12	217.3	1	23	0	28	0	13	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ajillo mushrooms	3	22	4	['olive oil', 'mushrooms', 'garlic cloves', 'dry sherry', 'lemon juice', 'dried red chili', 'paprika', 'salt and pepper', 'parsley']	9	150.6	21	6	0	4	9	1	3	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
