name	id	n_ingredients	serving_size_g	n_servings	calories	calories_per_g	total_fat_pdv	total_fat_g	total_fat_pct	sugar_pdv	sugar_g	sugar_pct	sodium_pdv	sodium_g	sodium_pct	protein_pdv	protein_g	protein_pct	saturated_fat_pdv	saturated_fat_g	saturated_fat_pct	carbohydrates_pdv	carbohydrates_g	carbohydrates_pct	ingredients	num_reviews	mean_rating	contributor_id	course	is_main_dish	is_side_dish	is_salad	is_soup	is_appetizer	is_sauce_or_garnish	has_egg_subs	has_dairy_subs	has_margarine	has_meat_subs	has_yeast	has_mushroom	has_grain	has_corn	has_rice	has_noodle	has_pungent	has_nut	has_seed	has_avocado	has_oil	has_olive	has_paste	has_peppercorn	has_curry	has_misc_spice	has_warm_spice	has_legume	has_pod	has_tofu	has_tuber	has_sweet_tuber	has_potato	has_bulb	has_sprout	has_herb	has_green	has_cabbage	has_lettuce	has_tomato	has_eggplant	has_sweet_pepper	has_hot_pepper	has_squash	has_cucumber	has_pome_fruit	has_stone_fruit	has_tropical_fruit	has_berry	has_sweet_fruit	has_citrus	has_vinegar	has_alcohol	has_complex_sugar	is_red	is_orange	is_yellow	is_green_light	is_green_dark	is_purple
4 fun salsa s in one	372771	19	105	4	137.5	1.309524	12	7.8	0.0742857	30	15	0.142857	0	0.000	0.00000000	5	2.5	0.0238095	5	1	0.00952381	5	15	0.142857	['red ripe tomatoes', 'onion', 'fresh cilantro', 'fresh parsley', 'garlic', 'fresh cracked pepper', 'salt', 'ground cumin', 'serrano chili', 'jalapeno', 'lime', 'sun-dried tomato packed in oil', 'brown sugar', 'chipotle chile in adobo', 'adobo sauce', 'mango', 'cucumber', 'vodka', 'avocado']	6	5	58104	sauce_garnish						y	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0
5 ingredient soup	352071	5	295	6	235.9	0.799661	3	1.95	0.0066102	1	0.5	0.001695	21	0.504	0.00170847	24	12	0.0406780	2	0.4	0.00135593	15	45	0.152542	['vegetable broth', 'vegetarian refried beans', 'black beans', 'frozen corn', 'tomatoes and green chilies']	14	4.93	258606	soup				y			0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
99 calorie broccoli soup	195990	7	284	2	125.3	0.441197	4	2.6	0.0091549	32	16	0.056338	8	0.192	0.00067606	16	8	0.0281690	1	0.2	0.00070423	6	18	0.063380	['vegetable stock', 'broccoli', 'garlic clove', 'fresh gingerroot', 'soymilk', 'low sodium soy sauce', 'red onion']	7	3.57	196296	soup				y			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
a la rousse salad romanian	305227	11	170	18	214	1.258824	10	6.5	0.0382353	27	13.5	0.079412	20	0.480	0.00282353	12	6	0.0352941	5	1	0.00588235	11	33	0.194118	['potatoes', 'carrots', 'peas', 'dill pickles', 'red bell peppers', 'vegan mayonnaise', 'pickle juice', 'mustard', 'salt', 'spices', 'vegetarian sausages']	4	1.25	385678	salad			y				1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
a side of black beans and corn	174190	7	102	4	108.1	1.059804	2	1.3	0.0127451	8	4	0.039216	0	0.000	0.00000000	9	4.5	0.0441176	1	0.2	0.00196078	6	18	0.176471	['black beans', 'corn', 'ground cumin', 'onion', 'olive oil', 'taco seasoning', 'hot sauce']	6	3.33	322381	side		y					0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
a very good tagine tajine vegetarian	269669	15	399	4	280.7	0.703509	2	1.3	0.0032581	74	37	0.092732	20	0.480	0.00120301	18	9	0.0225564	1	0.2	0.00050125	20	60	0.150376	['onion', 'mushrooms', 'sweet potatoes', 'canned tomatoes', 'cherry tomatoes', 'dried apricots', 'chickpeas', 'tomato puree', 'coriander', 'cinnamon', 'cumin', 'garlic powder', 'hot chili powder', 'vegetable stock', 'cooking spray']	4	4.75	221209	main	y						0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
a a a absolutely the cranberry relish	269418	5	88	8	128.1	1.455682	0	0	0.0000000	103	51.5	0.585227	0	0.000	0.00000000	1	0.5	0.0056818	0	0	0.00000000	11	33	0.375000	['fresh cranberries', 'apples', 'raisins', 'brown sugar', 'apple juice concentrate']	3	3	672858	side		y					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0
abidjan cabbage salad	134233	7	144	6	159	1.104167	18	11.7	0.0812500	39	19.5	0.135417	4	0.096	0.00066667	2	1	0.0069444	7	1.4	0.00972222	4	12	0.083333	['cabbage', 'carrot', 'pineapple chunk', 'juice of lemon', 'juice of orange', 'salt', 'vegetable oil']	3	4.33	206722	salad			y				0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0
abm italian breadsticks grissini	155405	7	634	1	70.2	0.110726	2	1.3	0.0020505	0	0	0	5	0.120	0.00018927	3	1.5	0.0023659	1	0.2	0.00031546	3	9	0.014196	['water', 'olive oil', 'white bread flour', 'salt', 'dried yeast', 'poppy seeds', 'coarse sea salt']	4	5	52448	appetizer					y		0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abuela s frijoles negros grandma s cuban black beans	244844	13	444	6	362.3	0.815991	40	26	0.0585586	15	7.5	0.016892	65	1.560	0.00351351	15	7.5	0.0168919	18	3.6	0.00810811	8	24	0.054054	['black beans', 'green peppers', 'water', 'olive oil', 'black pepper', 'onion', 'oregano', 'garlic cloves', 'bay leaf', 'sugar', 'salt', 'vinegar', 'dry wine']	3	5	551517	side		y					0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
acadia s french green beans	377884	5	138	2	36.4	0.263768	0	0	0.0000000	6	3	0.021739	13	0.312	0.00226087	4	2	0.0144928	0	0	0.00000000	2	6	0.043478	['french style green beans', 'vegetable stock', 'dill', 'chives', 'pepper']	5	4.4	804550	side		y					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
acadia s marinara sauce	421480	12	219	8	145.1	0.662557	6	3.9	0.0178082	3	1.5	0.006849	11	0.264	0.00120548	7	3.5	0.0159817	2	0.4	0.00182648	6	18	0.082192	['extra virgin olive oil', 'onion', 'garlic', 'yellow bell pepper', 'basil', 'oregano', 'parsley', 'italian seasoning mix', 'sherry wine', 'crushed tomatoes', 'kosher salt', 'bay leaf']	5	4.8	804550	main	y						0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
achingya thoren kerala style green bean curry	358585	12	75	6	136	1.813333	18	11.7	0.1560000	6	3	0.04	16	0.384	0.00512000	4	2	0.0266667	33	6.6	0.08800000	2	6	0.080000	['curry leaves', 'coconut', 'ground cumin', 'cayenne', 'turmeric', 'garlic cloves', 'vegetable oil', 'brown mustard seeds', 'raw rice', 'dried hot red chiles', 'green beans', 'salt']	4	5	610488	side		y					0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
acili ezme turkish style tomato dip condiment	236835	9	517	1	173.2	0.335010	21	13.65	0.0264023	26	13	0.025145	0	0.000	0.00000000	4	2	0.0038685	9	1.8	0.00348162	3	9	0.017408	['red onions', 'sumac', 'salt', 'tomatoes', 'fresh parsley', 'extra virgin olive oil', 'pomegranate syrup', 'fresh lemon juice', 'red jalapeno chiles']	8	5	47892	appetizer					y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1
acorn squash with cranberry apple stuffing	330611	6	326	4	189.1	0.580061	11	7.15	0.0219325	30	15	0.046012	0	0.000	0.00000000	3	1.5	0.0046012	3	0.6	0.00184049	11	33	0.101227	['acorn squash', 'boiling water', 'apples', 'dried cranberries', 'cinnamon', 'grapeseed oil']	3	4.67	730126	side		y					0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
adas bil hamod lentils with lemon juice	173611	9	215	8	353.8	1.645581	1	0.65	0.0030233	9	4.5	0.02093	1	0.024	0.00011163	46	23	0.1069767	0	0	0.00000000	21	63	0.293023	['black lentils', 'water', 'potatoes', 'flour', 'garlic cloves', 'coriander', 'lemon juice', 'salt', 'pepper']	7	4.14	163112	appetizer					y		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
adriana s mexican rice	158915	5	497	2	727.7	1.464185	33	21.45	0.0431590	9	4.5	0.009054	0	0.000	0.00000000	21	10.5	0.0211268	14	2.8	0.00563380	40	120	0.241449	['garlic cloves', 'tomatoes', 'rice', 'oil', 'water']	13	4.54	107135	side		y					0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
adzuki bean stew with okra	130044	11	282	4	921.1	3.266312	23	14.95	0.0530142	12	6	0.021277	0	0.000	0.00000000	86	43	0.1524823	12	2.4	0.00851064	52	156	0.553191	['olive oil', 'onions', 'fresh ginger', 'dried oregano', 'cayenne pepper', 'ground cinnamon', 'adzuki beans', 'braggs liquid aminos', 'vegetable broth', 'okra', 'cooked brown rice']	3	5	159888	soup	y			y			0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
african beans	189033	11	266	2	1400	5.263158	76	49.4	0.1857143	527	263.5	0.990602	75	1.800	0.00676692	73	36.5	0.1372180	170	34	0.12781955	71	213	0.800752	['dried black-eyed peas', 'onions', 'oil', 'tomato paste', 'coconut cream', 'paprika', 'chili powder', 'cumin', 'brown sugar', 'salt', 'black pepper']	17	4.47	323186	main	y						0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
african millet salad with corn and peppers	309363	18	210	4	466.5	2.221429	31	20.15	0.0959524	36	18	0.085714	29	0.696	0.00331429	24	12	0.0571429	14	2.8	0.01333333	21	63	0.300000	['millet', 'extra virgin olive oil', 'onion', 'garlic', 'minced ginger', 'paprika', 'ground black pepper', 'ground allspice', 'cayenne', 'water', 'salt', 'lemon juice', 'brown sugar', 'corn', 'green bell pepper', 'roma tomato', 'parsley', 'roasted peanuts']	6	3.17	143318	salad			y				0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
african peanut dipping sauce	25020	8	948	1	304.6	0.321308	30	19.5	0.0205696	62	31	0.0327	13	0.312	0.00032911	19	9.5	0.0100211	19	3.8	0.00400844	9	27	0.028481	['onions', 'peanut oil', 'cayenne', 'ground ginger', 'banana', 'tomato juice', 'apple juice', 'peanut butter']	5	4.8	37636	sauce_garnish						y	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
african peanut stew	335971	21	260	10	307.8	1.183846	20	13	0.0500000	27	13.5	0.051923	21	0.504	0.00193846	22	11	0.0423077	10	2	0.00769231	13	39	0.150000	['canola oil', 'onion', 'garlic cloves', 'fresh ginger', 'jalapeno', 'curry powder', 'diced tomatoes with juice', 'low sodium vegetable broth', 'natural-style peanut butter', 'tamari soy sauce', 'pepper', 'sweet potato', 'carrots', 'chickpeas', 'fresh okra', 'frozen green beans', 'kale', 'juice of lime', 'fresh cilantro', 'lime wedge', 'salted peanuts']	6	5	258606	main	y						0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
african pineapple peanut stew	184074	8	272	4	311.7	1.145956	31	20.15	0.0740809	55	27.5	0.101103	8	0.192	0.00070588	22	11	0.0404412	19	3.8	0.01397059	9	27	0.099265	['onion', 'garlic cloves', 'vegetable oil', 'kale', 'canned crushed pineapple', 'peanut butter', 'tabasco sauce', 'cilantro']	4	3.5	322548	main	y						0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
african potato and collard green stew	173753	17	444	4	258.6	0.582432	7	4.55	0.0102477	51	25.5	0.057432	27	0.648	0.00145946	17	8.5	0.0191441	3	0.6	0.00135135	16	48	0.108108	['olive oil', 'onions', 'garlic cloves', 'fresh ginger', 'ground cinnamon', 'poppy seeds', 'mustard seeds', 'ground coriander', 'ground cloves', 'russet potato', 'salt', 'cauliflower head', 'sweet potato', 'collard greens', 'raisins', 'apple cider vinegar', 'salt & freshly ground black pepper']	9	4.22	58104	main	y						0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0
african red beans	457028	9	89	6	214.9	2.414607	14	9.1	0.1022472	13	6.5	0.073034	19	0.456	0.00512360	15	7.5	0.0842697	8	1.6	0.01797753	8	24	0.269663	['dried pinto bean', 'onions', 'peanut oil', 'canned whole tomatoes', 'tomato paste', 'garlic clove', 'cayenne pepper', 'white pepper', 'salt']	3	5	482376	side		y					0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
african yam stew	212625	12	320	4	454.3	1.419688	16	10.4	0.0325000	15	7.5	0.023438	17	0.408	0.00127500	28	14	0.0437500	10	2	0.00625000	26	78	0.243750	['vegetable broth', 'onion', 'yams', 'canned chickpeas', 'brown rice', 'salt', 'peanut butter', 'collard greens', 'fresh lemon juice', 'black pepper', 'braggs liquid aminos', 'chili sauce']	9	4.33	424741	main	y						0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
agourontomatosalata	308203	7	154	4	99.9	0.648701	11	7.15	0.0464286	20	10	0.064935	0	0.000	0.00000000	3	1.5	0.0097403	5	1	0.00649351	3	9	0.058442	['tomatoes', 'cucumber', 'green onions', 'dried oregano', 'olive oil', 'juice of lemon', 'salt and pepper']	12	4.83	135470	salad			y				0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
