Ingredient	red	orange	yellow	green_light	green_dark	purple	has_cat	egg_substitute	mayo_vegan	milk_substitute	cheese_substitute	sour_cream_substitute	yogurt_substitute	chicken_substitute	meat_substitute	sausage_substitute	mushrooms	yeast	grain_flour	wheat_flour	cornmeal	grains	wheat	oats	corn	rice	gluten	pasta	noodles	rice_noodles	artichoke	mustard	avocado	sesame_paste	seeds	nuts	almonds	coconut	peanuts	banana_blossom	olives	capers	sesame_oil	olive oil	margarine	oil	pesto	pepper_spice	curry	smoke	spices_misc	spices_warm	vanilla	coffee	chocolate	tea	legume_tuber_flour	bean_thread_noodles	okra	green_beans	pea_pods	tofu	miso	soybeans	beans	lentils	chickpeas	peas	mung_beans	tapioca	water_chestnuts	tubers	horseradish	ginger	fennel	carrots	beets	palm_hearts	bamboo	sweet_potatoes_yams	potatoes	garlic	leeks_green_onions	onions_shallots	sprouts	rhubarb	greens	spinach	chicory	lettuce	kale	broccoli	cauliflower	cabbage	asparagus	seaweed	clover_blossoms	vegetable_stock	herbs	celery	tomatoes	eggplants	bell_peppers	chili_pepper	cajun_spice	squashes_gourds	plantains_bananas	melons	cucumbers	dates	figs	raisins	cranberries	strawberries	berries_pomegranate	grapes	tropical_fruits	mangoes	pineapple	persimmons	peaches	plums_apricots	cherries	pears	apples	citrus	vinegar	soy_sauce	worcestershire_sauce	fruit_vinegar	cider	wine_vinegar	wine	beer	alcohol_liqueur	pectin_agar-agar	sugar	raw_sugar	maple_syrup	syrups	molasses	sugar
angel hair pasta							TRUE																					y																																																																																																																		
angostura low-sodium worcestershire sauce							TRUE																																																																																																																										y													
anise seed							TRUE																												y																																																																																																											
anjou pear							TRUE																																																																																																																					y																		
annatto oil							TRUE																																							y																																																																																																
annatto seeds							TRUE																												y																																																																																																											
apple							TRUE																																																																																																																						y																	
apple butter							TRUE																																																																																																																						y																	
apple cider							TRUE																																																																																																																						y																	
apple cider vinegar							TRUE																																																																																																																											y												
apple juice							TRUE																																																																																																																						y																	
apple juice concentrate							TRUE																																																																																																																						y																	
apple pie spice							TRUE																																													y																																																																																										
apples							TRUE																																																																																																																						y																	
applesauce							TRUE																																																																																																																						y																	
apricot jam							TRUE																																																																																																																			y																				
apricot preserves							TRUE																																																																																																																			y																				
apricots			y				TRUE																																																																																																																			y																				
arborio rice							TRUE																			y																																																																																																																				
arrowroot							TRUE																																																																	y																																																																						
artichoke							TRUE																								y																																																																																																															
artichoke bottoms							TRUE																								y																																																																																																															
artichoke heart							TRUE																								y																																																																																																															
artichoke hearts							TRUE																								y																																																																																																															
artichokes							TRUE																								y																																																																																																															
artificial sweetener							FALSE																																																																																																																																		y					y
arugula					y		TRUE																																																																																y																																																							
arugula leaves					y		TRUE																																																																																y																																																							
asafoetida powder							FALSE																																																																																																																																							
asian chili sauce							TRUE																																																																																																	y																																						
asparagus					y		TRUE																																																																																								y																																															
asparagus spear					y		TRUE																																																																																								y																																															
asparagus spear					y		TRUE																																																																																								y																																															
assorted fresh vegetables							FALSE																																																																																																																																							
aubergine						y	TRUE																																																																																															y																																								
aubergines						y	TRUE																																																																																															y																																								
avocado				y			TRUE																										y																																																																																																													
avocados				y			TRUE																										y																																																																																																													
baby artichokes							TRUE																								y																																																																																																															
baby arugula					y		TRUE																																																																																y																																																							
baby beets	y						TRUE																																																																						y																																																																	
baby bok choy					y		TRUE																																																																																							y																																																
baby carrots		y					TRUE																																																																					y																																																																		
baby corn			y				TRUE																		y																																																																																																																					
baby green peas					y		TRUE																																																													y																																																																										
baby greens					y		TRUE																																																																																y																																																							
baby leeks					y		TRUE																																																																												y																																																											
baby portabella mushrooms							TRUE										y																																																																																																																													
baby potatoes							TRUE																																																																										y																																																													
baby red potato	y						TRUE																																																																										y																																																													
baby red potatoes	y						TRUE																																																																										y																																																													
baby spinach					y		TRUE																																																																																	y																																																						
baby spinach leaves					y		TRUE																																																																																	y																																																						
baguette							FALSE																																																																																																																																							
baked beans							TRUE																																																										y																																																																													
baked tofu							TRUE																																																							y																																																																																
baking potato							TRUE																																																																										y																																																													
baking potatoes							TRUE																																																																										y																																																													
baking powder							FALSE																																																																																																																																							
baking soda							FALSE																																																																																																																																							
balsamic vinaigrette							TRUE																																																																																																																													y										
balsamic vinegar							TRUE																																																																																																																													y										
bamboo shoots							TRUE																																																																								y																																																															
banana							TRUE																																																																																																				y																																			
banana blossom							TRUE																																	y																																																																																																						
banana chips							TRUE																																																																																																				y																																			
banana peppers			y	y			TRUE																																																																																																	y																																						
bananas							TRUE																																																																																																				y																																			
barbecue sauce							FALSE																																																																																																																																							
barley							TRUE															y																																																																																																																								
barley flour							TRUE												y																																																																																																																											
barley malt syrup							FALSE																																																																																																																																						y	
barley pearls							TRUE															y																																																																																																																								
basil							TRUE																																																																																												y																																											
basil chiffonade							TRUE																																																																																												y																																											
basil leaves							TRUE																																																																																												y																																											
basil oil							TRUE																																							y																																																																																																
basmati rice							TRUE																			y																																																																																																																				
bay leaf							TRUE																																																																																												y																																											
bay leaf powder							TRUE																																																																																												y																																											
bay leaves							TRUE																																																																																												y																																											
bean curd							TRUE																																																							y																																																																																
bean sprouts							TRUE																																																																														y																																																									
bean thread noodles							TRUE																																																			y																																																																																				
beans							TRUE																																																										y																																																																													
beefsteak tomato		y					TRUE																																																																																														y																																									
beefsteak tomatoes		y					TRUE																																																																																														y																																									
beer							TRUE																																																																																																																															y								
beet	y						TRUE																																																																						y																																																																	
beet juice							TRUE																																																																						y																																																																	
beet leaves					y		TRUE																																																																																y																																																							
beet sugar							FALSE																																																																																																																																		y					y
beetroot	y						TRUE																																																																						y																																																																	
beetroots	y						TRUE																																																																						y																																																																	
beets	y						TRUE																																																																						y																																																																	
bell pepper					y		TRUE																																																																																																y																																							
bell peppers					y		TRUE																																																																																																y																																							
bengal gram dal							TRUE																																																											y																																																																												
berbere							TRUE																																												y																																																																																											
bermuda onion							TRUE																																																																													y																																																										
berries	y					y	TRUE																																																																																																												y																											
besan							TRUE																																																											y																																																																												
better than cream cheese cream cheese substitute							TRUE				y																																																																																																																																			
bibb lettuce				y	y		TRUE																																																																																			y																																																				
bicarbonate of soda							FALSE																																																																																																																																							
bird chiles	y	y			y		TRUE																																																																																																	y																																						
birds eye chiles	y				y		TRUE																																																																																																	y																																						
biscuit mix							FALSE																																																																																																																																							
bittersweet chocolate							TRUE																																																y																																																																																							
black bean sauce							TRUE																																																										y																																																																													
black bean soup							TRUE																																																										y																																																																													
black beans							TRUE																																																										y																																																																													
black cardamom pods							TRUE																																													y																																																																																										
black cumin seeds							TRUE																												y																																																																																																											
black gram dal							TRUE																																																											y																																																																												
black lentils							TRUE																																																											y																																																																												
black mustard seeds							TRUE																									y			y																																																																																																											
black olive paste							TRUE																																		y																																																																																																					
black olives							TRUE																																		y																																																																																																					
black pepper							TRUE																																									y																																																																																														
black peppercorns							TRUE																																									y																																																																																														
black rice							TRUE																			y																																																																																																																				
black salt							FALSE																																																																																																																																							
black sesame seed							TRUE																												y																																																																																																											
blackberry						y	TRUE																																																																																																												y																											
black-eyed peas							TRUE																																																										y																																																																													
blackstrap molasses							FALSE																																																																																																																																						y	
blanched almond							TRUE																														y																																																																																																									
blanched almonds							TRUE																														y																																																																																																									
blueberries							TRUE																																																																																																												y																											
blush wine vinaigrette dressing							TRUE																																																																																																																													y										
boiling potatoes							TRUE																																																																										y																																																													
boiling water							FALSE																																																																																																																																							
boil-in-the-bag rice							TRUE																			y																																																																																																																				
bok choy					y		TRUE																																																																																							y																																																
borage leaves							TRUE																																																																																												y																																											
boston lettuce							TRUE																																																																																			y																																																				
bottled chili sauce							TRUE																																																																																																	y																																						
bottled lemon juice							TRUE																																																																																																																							y																
bouillon cubes				y	y		TRUE																																																																																											y																																												
braeburn apple							TRUE																																																																																																																						y																	
braggs amino acids							FALSE																																																																																																																																							
braggs aminos							FALSE																																																																																																																																							
braggs liquid aminos							FALSE																																																																																																																																							
brandy							TRUE																																																																																																																																y							
brazil nut							TRUE																													y																																																																																																										
bread							FALSE																																																																																																																																							
bread cubes							FALSE																																																																																																																																							
bread flour							TRUE													y																																																																																																																										
bread improver							FALSE																																																																																																																																							
bread machine quick-acting active dry yeast							TRUE											y																																																																																																																												
bread machine yeast							TRUE											y																																																																																																																												
breadcrumbs							FALSE																																																																																																																																							
brewed coffee							TRUE																																															y																																																																																								
brine							FALSE																																																																																																																																							
brine-cured black olives							TRUE																																		y																																																																																																					
broad beans							TRUE																																																										y																																																																													
broccoli					y		TRUE																																																																																					y																																																		
broccoli coleslaw mix							TRUE																																																																																					y		y																																																
broccoli floret					y		TRUE																																																																																					y																																																		
broccoli florets					y		TRUE																																																																																					y																																																		
broccoli rabe					y		TRUE																																																																																y																																																							
broccoli stem							TRUE																																																																																					y																																																		
broccoli stems							TRUE																																																																																					y																																																		
broccolini					y		TRUE																																																																																					y																																																		
broth							TRUE																																																																																											y																																												
brown basmati rice							TRUE																			y																																																																																																																				
brown button mushrooms							TRUE										y																																																																																																																													
brown lentils							TRUE																																																											y																																																																												
brown mustard							TRUE																									y																																																																																																														
brown mustard seeds							TRUE																									y																																																																																																														
brown onion							TRUE																																																																													y																																																										
brown rice							TRUE																			y																																																																																																																				
brown rice flour							TRUE												y																																																																																																																											
brown rice syrup							FALSE																																																																																																																																					y		
brown sesame seeds							TRUE																												y																																																																																																											
brown sugar							FALSE																																																																																																																																			y				y
brussels sprout				y			TRUE																																																																																							y																																																
brussels sprouts				y			TRUE																																																																																							y																																																
buckwheat flour							TRUE												y																																																																																																																											
buckwheat groats							TRUE															y																																																																																																																								
buffalo wing sauce							FALSE																																																																																																																																							
bulb of garlic							TRUE																																																																											y																																																												
bulbs shallots							TRUE																																																																													y																																																										
bulgar wheat							TRUE																y																																																																																																																							
bulgur							TRUE																y																																																																																																																							
bulgur wheat							TRUE																y																																																																																																																							
burgundy wine							TRUE																																																																																																																														y									
butter beans							TRUE																																																										y																																																																													
butter lettuce				y	y		TRUE																																																																																			y																																																				
butter lettuce leaf				y	y		TRUE																																																																																			y																																																				
butter-flavored cooking spray							FALSE																																																																																																																																							
butternut pumpkin		y					TRUE																																																																																																			y																																				
butternut squash		y					TRUE																																																																																																			y																																				
butternut squash soup							TRUE																																																																																																			y																																				
button mushroom							TRUE										y																																																																																																																													
button mushrooms							TRUE										y																																																																																																																													
cabbage				y			TRUE																																																																																							y																																																
cajun seasoning							TRUE																																																																																																		y																																					
cajun spices							TRUE																																																																																																		y																																					
calabaza squash		y					TRUE																																																																																																			y																																				
california walnut							TRUE																													y																																																																																																										
calrose rice							TRUE																			y																																																																																																																				
campbells tomato soup		y					TRUE																																																																																														y																																									
candied ginger							TRUE																																																																			y																																																																				
candied peel							TRUE																																																																																																																							y																
canned artichoke hearts							TRUE																								y																																																																																																															
canned black beans							TRUE																																																										y																																																																													
canned chickpeas							TRUE																																																												y																																																																											
canned chipotle chiles							TRUE																																																																																																	y																																						
canned corn			y				TRUE																		y																																																																																																																					
canned corn kernels			y				TRUE																		y																																																																																																																					
canned corn niblet			y				TRUE																		y																																																																																																																					
canned corn niblets			y				TRUE																		y																																																																																																																					
canned crushed pineapple							TRUE																																																																																																																y																							
canned jalapeno peppers							TRUE																																																																																																	y																																						
canned jalapeno slices							TRUE																																																																																																	y																																						
canned navy beans							TRUE																																																										y																																																																													
canned peas							TRUE																																																													y																																																																										
canned pinto beans							TRUE																																																										y																																																																													
canned plum tomatoes	y						TRUE																																																																																														y																																									
canned pumpkin		y					TRUE																																																																																																			y																																				
canned pumpkin puree		y					TRUE																																																																																																			y																																				
canned red kidney beans							TRUE																																																										y																																																																													
canned tomato	y						TRUE																																																																																														y																																									
canned tomatoes	y						TRUE																																																																																														y																																									
canned unsweetened coconut milk							TRUE			y																																																																																																																																				
canned vegetable broth							TRUE																																																																																											y																																												
canned whole tomatoes	y						TRUE																																																																																														y																																									
cannellini							TRUE																																																										y																																																																													
cannellini beans							TRUE																																																										y																																																																													
canola oil							TRUE																																							y																																																																																																
